amfi_code,cagr_3yr,sharpe,alpha,max_drawdown,scheme_name,plan,sub_category,fund_house,expense_ratio_pct,score_cagr,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank
120505,0.317775371512347,0.8833,0.2926,-0.1819,ICICI Pru Midcap Fund - Regular - Growth,Regular,Mid Cap,ICICI Prudential MF,1.36,89.74,92.31,94.87,64.1,61.54,84.74,1
119094,0.35111802096428524,0.7305,0.2608,-0.2096,Axis Midcap Fund - Regular - Growth,Regular,Mid Cap,Axis Mutual Fund,1.38,100.0,79.49,79.49,58.97,69.23,81.54,2
100033,0.32442459421956116,0.8083,0.272,-0.1622,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Regular,Mid Cap,HDFC Mutual Fund,1.38,92.31,84.62,87.18,58.97,48.72,80.0,3
148567,0.3400091602163293,1.0682,0.2698,-0.1127,Mirae Asset Large Cap Fund - Regular - Growth,Regular,Large Cap,Mirae Asset MF,1.46,97.44,100.0,84.62,43.59,17.95,79.49,4
120843,0.2958277033726251,0.9656,0.2733,-0.1297,Kotak Flexicap Fund - Regular - Growth,Regular,Flexi Cap,Kotak Mahindra MF,1.45,84.62,97.44,89.74,46.15,30.77,77.69,5
119598,0.2666992200118774,0.7117,0.3034,-0.2871,SBI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap,SBI Mutual Fund,1.43,71.79,69.23,100.0,48.72,89.74,75.13,6
149324,0.27000426614519246,0.7144,0.3006,-0.3117,DSP Small Cap Fund - Regular - Growth,Regular,Small Cap,DSP Mutual Fund,1.52,76.92,71.79,97.44,34.62,92.31,74.94,7
120504,0.3248742855621496,0.7147,0.2119,-0.1259,ICICI Pru Bluechip Fund - Direct - Growth,Direct,Large Cap,ICICI Prudential MF,0.8,94.87,74.36,69.23,71.79,28.21,74.49,8
148569,0.2917890157839378,0.919,0.2827,-0.164,Mirae Asset Tax Saver Fund - Regular - Growth,Regular,ELSS,Mirae Asset MF,1.6,82.05,94.87,92.31,8.97,51.28,73.27,9
119551,0.3045652442030289,0.861,0.232,-0.1501,SBI Bluechip Fund - Regular Plan - Growth,Regular,Large Cap,SBI Mutual Fund,1.54,87.18,89.74,76.92,24.36,41.03,71.73,10
